config_id,mods,density,n_vars,k,n_traj,traj_length,klPQ,errorPQ,klQP,errorQP,hellinger,bhattacharya,jensen-shannon,count,recall,precision,fscore,dist2opt,skeleton_count,skeleton_recall,skeleton_precision,skeleton_fscore,skeleton_dist2opt,hamming,structural hamming,learning_time,k_learning_time,BIC_Score
"(3, 0.5, 4, 2, 100, 11)",3,0.5,4,2,100,11,1.4160237920443028,0,0.6746254124419065,0,0.5731803190788648,0.3277276449587177,0.21909940143711504,"{'tp': 3, 'tn': 42, 'fp': 0, 'fn': 11}",0.21428571428571427,1.0,0.35294117647058826,0.7857142857142857,"{'tp': 3, 'tn': 14, 'fp': 0, 'fn': 11}",0.21428571428571427,1.0,0.35294117647058826,0.7857142857142857,11,13,0.0017265259994019289,5.065102233000289,9267.712984387997
"(3, 0.5, 4, 2, 100, 11)",3,0.5,4,2,100,11,1.6679638601605058,0,1.0780693347923542,0,0.6470308650620933,0.34182930598544453,0.27444521218800855,"{'tp': 4, 'tn': 41, 'fp': 1, 'fn': 10}",0.2857142857142857,0.8,0.4210526315789473,0.7417574277569811,"{'tp': 5, 'tn': 14, 'fp': 0, 'fn': 9}",0.35714285714285715,1.0,0.5263157894736842,0.6428571428571428,9,13,0.0020178319991828175,5.259352074999697,9302.944636639828
"(3, 0.5, 4, 2, 100, 11)",3,0.5,4,2,100,11,1.1627200528649548,0,1.6949442794002105,0,0.6504377503565089,0.21532503821986387,0.2743962259607041,"{'tp': 2, 'tn': 38, 'fp': 4, 'fn': 12}",0.14285714285714285,0.3333333333333333,0.2,1.0858813572372743,"{'tp': 5, 'tn': 13, 'fp': 1, 'fn': 9}",0.35714285714285715,0.8333333333333334,0.5,0.6641107467133976,10,13,0.002057043000604608,5.15283943599934,9686.49688336885
"(3, 0.5, 4, 2, 100, 11)",3,0.5,4,2,100,11,1.1594807030603849,0,1.033905822913491,0,0.5854491650437181,0.2466750412699756,0.2280956509558134,"{'tp': 4, 'tn': 42, 'fp': 0, 'fn': 10}",0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143,"{'tp': 4, 'tn': 14, 'fp': 0, 'fn': 10}",0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143,10,14,0.0020123110007261857,5.090108574000624,9425.141882770333
"(3, 0.5, 4, 2, 100, 11)",3,0.5,4,2,100,11,1.4336020737987463,0,0.9584434090432259,0,0.583733816225157,0.22098951119450824,0.2181646214633448,"{'tp': 8, 'tn': 41, 'fp': 1, 'fn': 6}",0.5714285714285714,0.8888888888888888,0.6956521739130435,0.4427404978089319,"{'tp': 9, 'tn': 14, 'fp': 0, 'fn': 5}",0.6428571428571429,1.0,0.782608695652174,0.3571428571428571,5,9,0.002303196000866592,5.385823802000232,9237.29745483472
"(3, 0.5, 4, 2, 100, 11)",3,0.5,4,2,100,11,0.8196918022556338,0,1.518330231150635,0,0.6030218466409857,0.1304222471267227,0.24165360300955832,"{'tp': 2, 'tn': 41, 'fp': 1, 'fn': 12}",0.14285714285714285,0.6666666666666666,0.23529411764705882,0.9196765674203794,"{'tp': 3, 'tn': 14, 'fp': 0, 'fn': 11}",0.21428571428571427,1.0,0.35294117647058826,0.7857142857142857,11,14,0.0021942260009382153,4.921920810000302,9426.381451642106
"(3, 0.5, 4, 2, 100, 11)",3,0.5,4,2,100,11,1.5878542591350824,0,1.1420839144142998,0,0.6434204656426316,0.33278756742961796,0.270312819124283,"{'tp': 5, 'tn': 41, 'fp': 1, 'fn': 9}",0.35714285714285715,0.8333333333333334,0.5,0.6641107467133976,"{'tp': 6, 'tn': 14, 'fp': 0, 'fn': 8}",0.42857142857142855,1.0,0.6,0.5714285714285714,8,14,0.0022553880007762928,5.200843189999432,9594.344187012855
"(3, 0.5, 4, 2, 100, 11)",3,0.5,4,2,100,11,1.043915461175877,0,1.4543213440810039,0,0.6053292703133648,0.2091566408465012,0.23702835168932074,"{'tp': 5, 'tn': 42, 'fp': 0, 'fn': 9}",0.35714285714285715,1.0,0.5263157894736842,0.6428571428571428,"{'tp': 5, 'tn': 14, 'fp': 0, 'fn': 9}",0.35714285714285715,1.0,0.5263157894736842,0.6428571428571428,9,10,0.001921554001455661,5.282125974999872,9169.773157873946
"(3, 0.5, 4, 2, 100, 11)",3,0.5,4,2,100,11,0.8452531305238998,0,0.9736078624328043,0,0.5301177169603344,0.18377734711157415,0.18656542539020543,"{'tp': 1, 'tn': 42, 'fp': 0, 'fn': 13}",0.07142857142857142,1.0,0.13333333333333333,0.9285714285714286,"{'tp': 1, 'tn': 14, 'fp': 0, 'fn': 13}",0.07142857142857142,1.0,0.13333333333333333,0.9285714285714286,13,13,0.0015708090013504261,4.849309076998907,9219.915397537376
"(3, 0.5, 4, 2, 100, 11)",3,0.5,4,2,100,11,0.9611486316498391,0,0.9160301654704975,0,0.5447684755233594,0.18814909972702412,0.19902711413713325,"{'tp': 1, 'tn': 39, 'fp': 3, 'fn': 13}",0.07142857142857142,0.25,0.11111111111111112,1.1936267833620289,"{'tp': 4, 'tn': 14, 'fp': 0, 'fn': 10}",0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143,10,12,0.002179277998948237,4.983267599000101,9546.124829333283
"(3, 0.5, 4, 2, 100, 11)",3,0.5,4,2,100,11,1.3016340716889656,0,1.3672824794063139,0,0.6241180420030954,0.2717481001222659,0.2523455022937115,"{'tp': 4, 'tn': 41, 'fp': 1, 'fn': 10}",0.2857142857142857,0.8,0.4210526315789473,0.7417574277569811,"{'tp': 5, 'tn': 14, 'fp': 0, 'fn': 9}",0.35714285714285715,1.0,0.5263157894736842,0.6428571428571428,9,12,0.0020844739992753603,5.179281267999613,9548.992360833616
"(3, 0.5, 4, 2, 100, 11)",3,0.5,4,2,100,11,1.5645110143089351,0,1.6915704568795598,0,0.6717640855597831,0.31018973572488795,0.2864423725611637,"{'tp': 4, 'tn': 41, 'fp': 1, 'fn': 10}",0.2857142857142857,0.8,0.4210526315789473,0.7417574277569811,"{'tp': 5, 'tn': 14, 'fp': 0, 'fn': 9}",0.35714285714285715,1.0,0.5263157894736842,0.6428571428571428,9,11,0.0022456499991676537,5.079933909000829,9441.136325692436
"(3, 0.5, 4, 2, 100, 11)",3,0.5,4,2,100,11,1.1694920160878304,0,1.3967122136566645,0,0.6201604487269481,0.2084887136880919,0.25153873211212896,"{'tp': 3, 'tn': 41, 'fp': 1, 'fn': 11}",0.21428571428571427,0.75,0.3333333333333333,0.8245283129010854,"{'tp': 4, 'tn': 14, 'fp': 0, 'fn': 10}",0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143,10,13,0.0018497420005587628,5.078286621001098,9574.600239177653
"(3, 0.5, 4, 2, 100, 11)",3,0.5,4,2,100,11,0.6868528313582868,0,1.0154192250833507,0,0.5210620836247511,0.11182229646333788,0.18324452285135587,"{'tp': 1, 'tn': 41, 'fp': 1, 'fn': 13}",0.07142857142857142,0.5,0.125,1.0546302185881,"{'tp': 2, 'tn': 14, 'fp': 0, 'fn': 12}",0.14285714285714285,1.0,0.25,0.8571428571428572,12,12,0.0016918310011533322,5.044383686999936,9094.345179794445
"(3, 0.5, 4, 2, 100, 11)",3,0.5,4,2,100,11,1.0103436406295097,0,1.5105890888141527,0,0.6221995016527944,0.18931287030808716,0.25567144167971234,"{'tp': 2, 'tn': 41, 'fp': 1, 'fn': 12}",0.14285714285714285,0.6666666666666666,0.23529411764705882,0.9196765674203794,"{'tp': 3, 'tn': 14, 'fp': 0, 'fn': 11}",0.21428571428571427,1.0,0.35294117647058826,0.7857142857142857,11,12,0.0018052400009764824,4.853376117000153,9614.80092963558
"(3, 0.5, 4, 2, 100, 11)",3,0.5,4,2,100,11,1.3805159155443627,0,1.5490038772671901,0,0.6589950287813406,0.2806494007801957,0.281613341554993,"{'tp': 1, 'tn': 40, 'fp': 2, 'fn': 13}",0.07142857142857142,0.3333333333333333,0.11764705882352941,1.1431051318245526,"{'tp': 3, 'tn': 14, 'fp': 0, 'fn': 11}",0.21428571428571427,1.0,0.35294117647058826,0.7857142857142857,11,13,0.0018495809999876656,4.983806109999932,9618.506506179201
"(3, 0.5, 4, 2, 100, 11)",3,0.5,4,2,100,11,0.8655134117975706,0,1.3565325900759697,0,0.5822909558662692,0.15812505715353414,0.22400800188003073,"{'tp': 5, 'tn': 41, 'fp': 1, 'fn': 9}",0.35714285714285715,0.8333333333333334,0.5,0.6641107467133976,"{'tp': 6, 'tn': 14, 'fp': 0, 'fn': 8}",0.42857142857142855,1.0,0.6,0.5714285714285714,8,12,0.002294329000505968,5.220279391000076,9396.070247527627
