config_id,mods,density,n_vars,k,n_traj,traj_length,do_proba_learner,do_skeleton_learner,do_KLearner,k_learning_time,BIC_Score,learned_k
"(4, 0.1, 4, 3, 10, 10, False, False, True)",4,0.1,4,3,10,10,False,False,True,0.4341853720106883,1107.6767992947318,2
"(4, 0.1, 4, 3, 10, 10, False, False, True)",4,0.1,4,3,10,10,False,False,True,0.4289311979955528,1141.80781893645,2
"(4, 0.1, 4, 3, 10, 10, False, False, True)",4,0.1,4,3,10,10,False,False,True,0.4437894329894334,1122.8772716102244,2
"(4, 0.1, 4, 3, 10, 10, False, False, True)",4,0.1,4,3,10,10,False,False,True,0.46676633300376125,1157.1393626843517,2
"(4, 0.1, 4, 3, 10, 10, False, False, True)",4,0.1,4,3,10,10,False,False,True,0.45607058799942024,1149.906806398147,2
"(4, 0.1, 4, 3, 10, 10, False, False, True)",4,0.1,4,3,10,10,False,False,True,0.423370624994277,1114.0095087800719,2
"(4, 0.1, 4, 3, 10, 10, False, False, True)",4,0.1,4,3,10,10,False,False,True,0.4246059500001138,1135.8469595211104,2
"(4, 0.1, 4, 3, 10, 10, False, False, True)",4,0.1,4,3,10,10,False,False,True,0.45297657800256275,1164.3324949659177,2
"(4, 0.1, 4, 3, 10, 10, False, False, True)",4,0.1,4,3,10,10,False,False,True,0.42826676899858285,1162.406008151347,2
"(4, 0.1, 4, 3, 10, 10, False, False, True)",4,0.1,4,3,10,10,False,False,True,0.42153104799217544,1098.6013219614101,2
"(4, 0.1, 4, 3, 10, 10, False, False, True)",4,0.1,4,3,10,10,False,False,True,0.421541829011403,1129.771994214673,2
"(4, 0.1, 4, 3, 10, 10, False, False, True)",4,0.1,4,3,10,10,False,False,True,0.43383828399237245,1115.0618437020712,2
"(4, 0.1, 4, 3, 10, 10, False, False, True)",4,0.1,4,3,10,10,False,False,True,0.4188973380078096,1140.2519045348536,2
"(4, 0.1, 4, 3, 10, 10, False, False, True)",4,0.1,4,3,10,10,False,False,True,0.42396231200837065,1161.6279342448918,2
"(4, 0.1, 4, 3, 10, 10, False, False, True)",4,0.1,4,3,10,10,False,False,True,0.4245033900078852,1174.4013657974467,2
"(4, 0.1, 4, 3, 10, 10, False, False, True)",4,0.1,4,3,10,10,False,False,True,0.4338298670045333,1155.4225062243097,2
"(4, 0.1, 4, 3, 10, 10, False, False, True)",4,0.1,4,3,10,10,False,False,True,0.41868235799483955,1103.456701226217,2
"(4, 0.1, 4, 3, 10, 10, False, False, True)",4,0.1,4,3,10,10,False,False,True,0.4207178479991853,1151.969897043581,2
"(4, 0.1, 4, 3, 10, 10, False, False, True)",4,0.1,4,3,10,10,False,False,True,0.4388166889984859,1152.9750159151774,2
"(4, 0.1, 4, 3, 10, 10, False, False, True)",4,0.1,4,3,10,10,False,False,True,0.43769048700050917,1086.1158900878922,2
"(4, 0.1, 4, 3, 10, 15, False, False, True)",4,0.1,4,3,10,15,False,False,True,0.5065164709958481,1736.5835739047584,2
"(4, 0.1, 4, 3, 10, 15, False, False, True)",4,0.1,4,3,10,15,False,False,True,0.5078536570072174,1714.9516514973575,3
"(4, 0.1, 4, 3, 10, 15, False, False, True)",4,0.1,4,3,10,15,False,False,True,0.49070099600066897,1637.7101666455283,2
"(4, 0.1, 4, 3, 10, 15, False, False, True)",4,0.1,4,3,10,15,False,False,True,0.5306840000121156,1649.5499471699789,2
"(4, 0.1, 4, 3, 10, 15, False, False, True)",4,0.1,4,3,10,15,False,False,True,0.4976680699910503,1655.7492337301226,2
"(4, 0.1, 4, 3, 10, 15, False, False, True)",4,0.1,4,3,10,15,False,False,True,0.488067325000884,1666.9011195005683,2
"(4, 0.1, 4, 3, 10, 15, False, False, True)",4,0.1,4,3,10,15,False,False,True,0.4961141200037673,1666.957273530497,2
"(4, 0.1, 4, 3, 10, 15, False, False, True)",4,0.1,4,3,10,15,False,False,True,0.5119197570020333,1613.1582961254244,3
"(4, 0.1, 4, 3, 10, 15, False, False, True)",4,0.1,4,3,10,15,False,False,True,0.4817001039918978,1655.9986356673874,2
"(4, 0.1, 4, 3, 10, 15, False, False, True)",4,0.1,4,3,10,15,False,False,True,0.508954258999438,1638.755087784804,2
"(4, 0.1, 4, 3, 10, 15, False, False, True)",4,0.1,4,3,10,15,False,False,True,0.4949750939995283,1616.041365417593,2
"(4, 0.1, 4, 3, 10, 15, False, False, True)",4,0.1,4,3,10,15,False,False,True,0.4881573809980182,1652.2692911134627,2
"(4, 0.1, 4, 3, 10, 15, False, False, True)",4,0.1,4,3,10,15,False,False,True,0.48335107299499214,1712.4728131742377,2
"(4, 0.1, 4, 3, 10, 15, False, False, True)",4,0.1,4,3,10,15,False,False,True,0.5562652919907123,1685.6223809245255,2
"(4, 0.1, 4, 3, 10, 15, False, False, True)",4,0.1,4,3,10,15,False,False,True,0.475070290005533,1563.5996611893152,2
"(4, 0.1, 4, 3, 10, 15, False, False, True)",4,0.1,4,3,10,15,False,False,True,0.4856237770000007,1690.2971593409839,2
"(4, 0.1, 4, 3, 10, 15, False, False, True)",4,0.1,4,3,10,15,False,False,True,0.4819340920075774,1687.6463430697936,2
"(4, 0.1, 4, 3, 10, 15, False, False, True)",4,0.1,4,3,10,15,False,False,True,0.5334374139929423,1637.1441550149295,2
"(4, 0.1, 4, 3, 10, 15, False, False, True)",4,0.1,4,3,10,15,False,False,True,0.49308086901146453,1713.9519356656037,2
"(4, 0.1, 4, 3, 10, 15, False, False, True)",4,0.1,4,3,10,15,False,False,True,0.47574553100275807,1689.3600554901188,2
"(4, 0.1, 4, 3, 10, 20, False, False, True)",4,0.1,4,3,10,20,False,False,True,0.5914280209981371,2178.0057104389452,2
"(4, 0.1, 4, 3, 10, 20, False, False, True)",4,0.1,4,3,10,20,False,False,True,0.5257072780077578,2103.807311325422,2
"(4, 0.1, 4, 3, 10, 20, False, False, True)",4,0.1,4,3,10,20,False,False,True,0.6003399070032174,2197.685518439646,2
"(4, 0.1, 4, 3, 10, 20, False, False, True)",4,0.1,4,3,10,20,False,False,True,0.5482775630080141,2206.3226574188275,2
"(4, 0.1, 4, 3, 10, 20, False, False, True)",4,0.1,4,3,10,20,False,False,True,0.5372242890007328,2247.7640748062113,2
"(4, 0.1, 4, 3, 10, 20, False, False, True)",4,0.1,4,3,10,20,False,False,True,0.5599097189988242,2239.311483408774,2
"(4, 0.1, 4, 3, 10, 20, False, False, True)",4,0.1,4,3,10,20,False,False,True,0.6285905800032197,2259.719755503474,2
"(4, 0.1, 4, 3, 10, 20, False, False, True)",4,0.1,4,3,10,20,False,False,True,0.5836360440007411,2226.135067571298,2
"(4, 0.1, 4, 3, 10, 20, False, False, True)",4,0.1,4,3,10,20,False,False,True,0.5265376220049802,2176.5775057933806,2
"(4, 0.1, 4, 3, 10, 20, False, False, True)",4,0.1,4,3,10,20,False,False,True,0.5735999390017241,2291.8350274956106,2
"(4, 0.1, 4, 3, 10, 20, False, False, True)",4,0.1,4,3,10,20,False,False,True,0.6243393670010846,2234.015068334399,3
"(4, 0.1, 4, 3, 10, 20, False, False, True)",4,0.1,4,3,10,20,False,False,True,0.5509566320106387,2203.8131732508555,2
"(4, 0.1, 4, 3, 10, 20, False, False, True)",4,0.1,4,3,10,20,False,False,True,0.568705448997207,2154.8791208093025,2
"(4, 0.1, 4, 3, 10, 20, False, False, True)",4,0.1,4,3,10,20,False,False,True,0.6227477950014872,2183.275629838719,2
"(4, 0.1, 4, 3, 10, 20, False, False, True)",4,0.1,4,3,10,20,False,False,True,0.561514196000644,2284.106736211036,2
"(4, 0.1, 4, 3, 10, 20, False, False, True)",4,0.1,4,3,10,20,False,False,True,0.5624107400071807,2134.274689321785,2
"(4, 0.1, 4, 3, 10, 20, False, False, True)",4,0.1,4,3,10,20,False,False,True,0.6095640150015242,2232.4042443588273,2
"(4, 0.1, 4, 3, 10, 20, False, False, True)",4,0.1,4,3,10,20,False,False,True,0.5539979379973374,2141.2138847159877,2
"(4, 0.1, 4, 3, 10, 20, False, False, True)",4,0.1,4,3,10,20,False,False,True,0.5317963150009746,2130.818119170186,2
"(4, 0.1, 4, 3, 10, 20, False, False, True)",4,0.1,4,3,10,20,False,False,True,0.5621741469949484,2118.55682499696,2
"(4, 0.1, 4, 3, 10, 25, False, False, True)",4,0.1,4,3,10,25,False,False,True,0.6282870860013645,2829.684160301017,2
"(4, 0.1, 4, 3, 10, 25, False, False, True)",4,0.1,4,3,10,25,False,False,True,0.6384459620021516,2302.2062215108904,2
"(4, 0.1, 4, 3, 10, 25, False, False, True)",4,0.1,4,3,10,25,False,False,True,0.6140160009963438,2584.973232121472,2
"(4, 0.1, 4, 3, 10, 25, False, False, True)",4,0.1,4,3,10,25,False,False,True,0.5964209849917097,2749.996927515944,2
"(4, 0.1, 4, 3, 10, 25, False, False, True)",4,0.1,4,3,10,25,False,False,True,0.592508985006134,2619.526122624869,2
"(4, 0.1, 4, 3, 10, 25, False, False, True)",4,0.1,4,3,10,25,False,False,True,0.6148773540044203,2836.2019551847925,2
"(4, 0.1, 4, 3, 10, 25, False, False, True)",4,0.1,4,3,10,25,False,False,True,0.586453032999998,2809.7601958276946,2
"(4, 0.1, 4, 3, 10, 25, False, False, True)",4,0.1,4,3,10,25,False,False,True,0.6282298439909937,2634.2340316955747,2
"(4, 0.1, 4, 3, 10, 25, False, False, True)",4,0.1,4,3,10,25,False,False,True,0.6570011349976994,2793.810824131138,3
"(4, 0.1, 4, 3, 10, 25, False, False, True)",4,0.1,4,3,10,25,False,False,True,0.5854065469902707,2639.206946456835,2
"(4, 0.1, 4, 3, 10, 25, False, False, True)",4,0.1,4,3,10,25,False,False,True,0.6379595910111675,2796.3463064421944,3
