config_id,mods,density,n_vars,k,n_traj,traj_length,do_proba_learner,do_skeleton_learner,do_KLearner,count,recall,precision,fscore,dist2opt,skeleton_count,skeleton_recall,skeleton_precision,skeleton_fscore,skeleton_dist2opt,hamming,structural hamming,learning_time
"(3, 0.1, 4, 2, 500, 10, False, True, False)",3,0.1,4,2,500,10,False,True,False,"{'tp': 2, 'tn': 54, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,0,0.0019354820000216932
"(3, 0.1, 4, 2, 500, 10, False, True, False)",3,0.1,4,2,500,10,False,True,False,"{'tp': 2, 'tn': 54, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,0,0.00182159500002399
"(3, 0.1, 4, 2, 500, 10, False, True, False)",3,0.1,4,2,500,10,False,True,False,"{'tp': 1, 'tn': 53, 'fp': 1, 'fn': 1}",0.5,0.5,0.5,0.7071067811865476,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,0,0.002255945999991127
"(3, 0.1, 4, 2, 500, 10, False, True, False)",3,0.1,4,2,500,10,False,True,False,"{'tp': 2, 'tn': 54, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,0,0.0016076869999892551
"(3, 0.1, 4, 2, 500, 10, False, True, False)",3,0.1,4,2,500,10,False,True,False,"{'tp': 1, 'tn': 53, 'fp': 1, 'fn': 1}",0.5,0.5,0.5,0.7071067811865476,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,2,0.0021524380000528254
"(3, 0.1, 4, 2, 500, 10, False, True, False)",3,0.1,4,2,500,10,False,True,False,"{'tp': 1, 'tn': 53, 'fp': 1, 'fn': 1}",0.5,0.5,0.5,0.7071067811865476,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,0,0.002242087000013271
"(3, 0.1, 4, 2, 500, 10, False, True, False)",3,0.1,4,2,500,10,False,True,False,"{'tp': 2, 'tn': 54, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,0,0.0022741550000091593
"(3, 0.1, 4, 2, 500, 10, False, True, False)",3,0.1,4,2,500,10,False,True,False,"{'tp': 2, 'tn': 54, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,0,0.002300848999993832
"(3, 0.1, 4, 2, 500, 10, False, True, False)",3,0.1,4,2,500,10,False,True,False,"{'tp': 1, 'tn': 53, 'fp': 1, 'fn': 1}",0.5,0.5,0.5,0.7071067811865476,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,0,0.002185787000030359
"(3, 0.1, 4, 2, 500, 10, False, True, False)",3,0.1,4,2,500,10,False,True,False,"{'tp': 0, 'tn': 54, 'fp': 0, 'fn': 2}",0.0,0.0,0.0,1.4142135623730951,"{'tp': 0, 'tn': 26, 'fp': 0, 'fn': 2}",0.0,0.0,0.0,1.4142135623730951,2,2,0.0018198230000052718
"(3, 0.1, 4, 2, 500, 10, False, True, False)",3,0.1,4,2,500,10,False,True,False,"{'tp': 2, 'tn': 54, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,0,0.0019235340000136603
"(3, 0.1, 4, 2, 500, 10, False, True, False)",3,0.1,4,2,500,10,False,True,False,"{'tp': 1, 'tn': 54, 'fp': 0, 'fn': 1}",0.5,1.0,0.6666666666666666,0.5,"{'tp': 1, 'tn': 26, 'fp': 0, 'fn': 1}",0.5,1.0,0.6666666666666666,0.5,1,2,0.0014567339999871365
"(3, 0.1, 4, 2, 500, 10, False, True, False)",3,0.1,4,2,500,10,False,True,False,"{'tp': 1, 'tn': 53, 'fp': 1, 'fn': 1}",0.5,0.5,0.5,0.7071067811865476,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,0,0.0017165739999995822
"(3, 0.1, 4, 2, 500, 10, False, True, False)",3,0.1,4,2,500,10,False,True,False,"{'tp': 2, 'tn': 54, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,0,0.0017338499999937085
"(3, 0.1, 4, 2, 500, 10, False, True, False)",3,0.1,4,2,500,10,False,True,False,"{'tp': 2, 'tn': 54, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,0,0.0019019179999872904
"(3, 0.1, 4, 2, 500, 10, False, True, False)",3,0.1,4,2,500,10,False,True,False,"{'tp': 2, 'tn': 54, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,0,0.0020301219999510067
"(3, 0.1, 4, 2, 500, 10, False, True, False)",3,0.1,4,2,500,10,False,True,False,"{'tp': 2, 'tn': 54, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,0,0.0018280730000128642
"(3, 0.1, 4, 2, 500, 10, False, True, False)",3,0.1,4,2,500,10,False,True,False,"{'tp': 2, 'tn': 54, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,0,0.0017331839999883414
"(3, 0.1, 4, 2, 500, 10, False, True, False)",3,0.1,4,2,500,10,False,True,False,"{'tp': 2, 'tn': 54, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,0,0.001842903000010665
"(3, 0.1, 4, 2, 500, 10, False, True, False)",3,0.1,4,2,500,10,False,True,False,"{'tp': 2, 'tn': 54, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,0,0.0020333259999461006
"(3, 0.1, 4, 2, 500, 20, False, True, False)",3,0.1,4,2,500,20,False,True,False,"{'tp': 1, 'tn': 53, 'fp': 1, 'fn': 1}",0.5,0.5,0.5,0.7071067811865476,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,0,0.005868507999991834
"(3, 0.1, 4, 2, 500, 20, False, True, False)",3,0.1,4,2,500,20,False,True,False,"{'tp': 1, 'tn': 53, 'fp': 1, 'fn': 1}",0.5,0.5,0.5,0.7071067811865476,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,0,0.006301849999999831
"(3, 0.1, 4, 2, 500, 20, False, True, False)",3,0.1,4,2,500,20,False,True,False,"{'tp': 2, 'tn': 54, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,0,0.004166112999996585
"(3, 0.1, 4, 2, 500, 20, False, True, False)",3,0.1,4,2,500,20,False,True,False,"{'tp': 2, 'tn': 54, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,"{'tp': 2, 'tn': 26, 'fp': 0, 'fn': 0}",1.0,1.0,1.0,0.0,0,0,0.005874793000032241
