config_id,mods,density,n_vars,k,n_traj,traj_length,do_proba_learner,do_skeleton_learner,do_KLearner,k_learning_time,BIC_Score,learned_k
"(4, 0.1, 4, 2, 100, 30, False, False, True)",4,0.1,4,2,100,30,False,False,True,6.272944491000089,31307.18395160085,2
"(4, 0.1, 4, 2, 100, 30, False, False, True)",4,0.1,4,2,100,30,False,False,True,6.289870103999419,28563.415036070917,2
"(4, 0.1, 4, 2, 100, 30, False, False, True)",4,0.1,4,2,100,30,False,False,True,6.256209413000761,29808.87052820609,2
"(4, 0.1, 4, 2, 100, 30, False, False, True)",4,0.1,4,2,100,30,False,False,True,5.967245242998615,26948.78438915862,2
"(4, 0.1, 4, 2, 100, 30, False, False, True)",4,0.1,4,2,100,30,False,False,True,6.400732496000273,29591.067848335424,2
"(4, 0.1, 4, 2, 100, 30, False, False, True)",4,0.1,4,2,100,30,False,False,True,5.367313129001559,31631.9456744018,2
"(4, 0.1, 4, 2, 100, 30, False, False, True)",4,0.1,4,2,100,30,False,False,True,5.868311083002482,27905.269629731578,2
"(4, 0.1, 4, 2, 100, 30, False, False, True)",4,0.1,4,2,100,30,False,False,True,6.115710334001051,29420.0536196863,2
"(4, 0.1, 4, 2, 100, 30, False, False, True)",4,0.1,4,2,100,30,False,False,True,6.521476965997863,29832.434363100576,2
"(4, 0.1, 4, 2, 100, 30, False, False, True)",4,0.1,4,2,100,30,False,False,True,6.2561740889977955,29385.256886752366,2
"(4, 0.1, 4, 2, 100, 30, False, False, True)",4,0.1,4,2,100,30,False,False,True,5.850807058999635,27959.993530217893,2
"(4, 0.1, 4, 2, 100, 30, False, False, True)",4,0.1,4,2,100,30,False,False,True,6.227336995001679,30566.64747705226,2
"(4, 0.1, 4, 2, 100, 30, False, False, True)",4,0.1,4,2,100,30,False,False,True,6.181719580999925,30587.185003504343,2
"(4, 0.1, 4, 2, 100, 30, False, False, True)",4,0.1,4,2,100,30,False,False,True,6.266668573000061,28800.61033944996,2
